fm_id,RecordID,Title,alt_title,language,d1,m1,y1,d2,m2,y2,format,publication_place_fk
2081,9984831760101488,Logica.,"Dictata logicalia./Dictata logicalia sub doctissimo domino dno Judoco Houbraken .S.T. L., et in Pædagogio porcensi Florentissimo philiae professore primario scribebat Guilielmus Quisthoudt viluordiensis/Dictata logicalia sub doctissimo domino d[omi]no Judoco Houbraken .S.T. L., et in Paedagogio porcensi Florentissimo phil[osoph]iae professore primario scribebat Guilielmus Quisthoudt vilvordiensis",Latin,0,0,1655,0,0,1656,206 x 160 mm.,2
2082,9984875010101488,Dialectica.,Dialectices sive Manuductio ad logicam Lovaniensem/Dialectices sive Manuductio ad logicam Lovaniensem a Reverendo in Christo Patro Francisco Vrancx F. M. prædicatore ac Phil: Professore Scripta a Peril: P. F. Eq: D. R: D: L: &orum &orum Die aprilis 24,Latin,0,0,1749,0,0,1749,210 x 160 mm.,2
2083,9984879010101488,Mechanica.,Tractatus de mechanica. Tractatus de igne,Latin,0,0,1793,0,0,1793,186 x 155 mm.,2
2084,9984882080101488,Physica.,"Phisica dictata a reverendis d=nis d=nis Verbergt et van Hamont An°. 1766/Tractatus de corpore. Tractatus de motu. Tractatus de gravitate corporum. Tractatus de hydrostatica. Tractatus de igne, calore et frigore. Tractatus de mechanica",Latin,0,0,1766,0,0,1766,200 x 160 mm.,2
2085,9984889740101488,Logica.,"Hæc Dictata Logicalia Sub Doctissimo Domino, Domino Arnoldo Eijben professore porcensi primario scribebat jngenius ac probus adolescens Jacobus de Fode Porcensis 1666",Latin,0,0,1666,0,0,1667,211 x 160 mm.,2
2086,9984909340101488,Annotata physicalia.,0,Latin,0,0,1644,0,0,1644,195 x 160 mm.,2
2087,9984913130101488,De logica et de sphæra.,Universa philosophia. De cosmographia,Latin,0,0,1701,0,0,1797,208 x 165 mm.,2
2088,9984915010101488,Logica.,0,Latin,0,0,0,0,0,0,210 x 160 mm.,2
2089,9984952000101488,Tractatus de sponsalibus et matrimonio.,0,Latin,0,0,1771,0,0,1771,203 x 160 mm.,2
2090,9985204270101488,Physica,Tractatus de astronomia. Tractatus de geographia.,Latin,0,0,1771,0,0,1771,160 x 98 mm.,2
2091,9985275330101488,De actibus humanis & legibus.,De actibus humanis et legibus,Latin,0,0,1701,0,0,1797,181 x 145 mm.,2
2092,9985276830101488,Logica,Definitiones logicae. Prodidagmata Augustini Hunnei. Definitiones phisicae.,Latin,0,0,1601,0,0,1700,168 x 110 mm.,2
2093,9985449980101488,Scripta theologica.,0,Latin,0,0,1629,0,0,1630,205 x 150 mm.,2
2094,9985450340101488,Scripta de sacramentis.,0,Latin,0,0,1613,0,0,1616,338 x 210 mm.,2
2095,9988171070101488,Physica.,Dictata physicalia/Annotata physicalia/Dictata phijsicalia sub doctissimo domino dño I. Vandenhove professore maius pædagogii Castrensis. Scripta per Norbertum Iosephum Ligiers Gañsem Anno 1694 1695./Dictata physicalia sub doctissimo domino d[omi]no I. Vandenhove professore maius pædagogii Castrensis. Scripta per Norbertum Iosephum Ligiers Gan[den]sem Anno 1694 1695.,Latin,0,0,1694,0,0,1695,210 x 165 mm.,2
2096,9988171170101488,Logica.,Dictata logicalia/Annotata physicalia/Dictata logicalia sub doctissimo domino d[omi]no I. Vandenhove professore maiore pædagogii Castrensis. Scripta per Norbertvm Iosephvm Ligiers Gan[den]sem. Anno 1693 1694,Latin,0,0,1693,0,0,1694,205 x 165 mm.,2
2097,9989636720101488,Physica.,Phijsices pars prima data a doctissimo D.D. Stoupij professore primario in Lilii florentissimo pedagogio.. hanc scripsit Henricus Placoeur casti=Letanus. Anno 1708,Latin,0,0,1707,0,0,1708,215 x 165 mm.,2
2098,9989672710101488,Collectanea juridica sive Annotationes ad leges diversas.,"Collectanea juridica sive Annotationes ad leges diversas à clarissimo quondam doctissimo, eruditissimoque Domino D: Joanne Smit juris urtiusque in alma Lovaniensis Universitate Doctore per Leonardum Erardum De Stockhem, dum ibidem cursum juridicum a 15. menis octobris A. 1722. ad 15. ejusdem mensis A. 1727 inclusive, absolveret",Latin,0,0,1722,0,0,1727,193 x 125 mm.,2
2099,9990180740101488,Physica,Tractatus de motu corporum./Tractatus de (mechani) Motu Corporum ao 1773 Datus a Doctissimo Dno Van Kessel Philosophiae professore Secundario in celeberrimo Paedagogio Porci/Tractatus de (mechani) Motu Corporum a[nn]o 1773 Datus a Doctissimo D[omi]no Van Kessel Philosophiae professore Secundario in celeberrimo Paedagogio Porci,Latin,0,0,1773,0,0,1774,190 x 120 mm.,2
2100,9991877070101488,Physica,"Dictata physicalia magis principalia. Dictata physicalia minus principalia./Dictata phijsicalia magis principalia sub doctissimo d[omi]no Arnoldo Mennekens sulreno, S.T.B.F, et celeberrimi Pædagogij Porcensis professore primario. Scribebat Cornelius à Wijckersloot Ultrajectinus Anno 1653 Lovanij/Dictata phijsicalia minus principalia sub doctissimo d[omi]no Nicolao du Bois J.V.L. nec non celeberissimi Pædagogij Porcensis professore secundario. Scribebat, A°. 1653 Cornelius à Wijckersloot Ultrajectinus Lovanij",Latin,0,0,1653,0,0,1653,215 x 165 mm.,2
2101,9992066370101488,Logica,Logica sermocinalis./Logica Sermocinalis Eruditissimi Domini Domine Jacobi Van Waes ex Overmeire Professoris secundarii scripta in celeberrimo Falconis Pedagogio ab Henrico Dewel Die 4 octobris Anni 1753,Latin,0,0,1753,0,0,1754,205 x 160 mm.,2
2102,9992070040101488,Physica.,Phijsica Sive Scientia Naturae Dictata ab eruditissimo Domino Domino Joanne Francisco Baillij Ex genappe Celeberrimi Falconis paedagogii professore primario Scripta vero Ab Henrico Dewael Antverpiensi ejsdem paedagogii alumno Anno 1754 Die 14 junii,Latin,0,0,1754,0,0,1755,205 x 160 mm.,2
2103,9992075290101488,Physica,Phijsica Sive Scientiae Naturae Pars altera Dictata ab eruditissimo Domino Domino Jacobo Van Waes ex Overmeire Celeberrimi Paedagogii Falconis professore secundario Scripta vero Ab Henrico Dewael Antverpiensi ejsdem paedagogii alumno Anno 1754 Die 12 julii,Latin,0,0,1754,0,0,1755,205 x 160 mm.,2
2104,9992112188001488,Logica. Metaphysica,Tractatus de logica reali/Tractatus de metaphysica/Tractatus de Metaphijsicâ,Latin,0,0,1772,0,0,1772,205 x 165 mm.,2
2105,9992119909401488,Logica,Tractatus de logica/Tractatus De Logica a Dmno vanhaecht Falconis Professore Dictatus et a dne Ph: Meuclet ex jemeppes ad Sabim scriptus/Tractatus de Logica a D[o]m[i]no Vanhaecht Falconis professore Dictatus et a D[omi]e Ph: Meuclet ex Jemeppes ad Sabim scriptus,Latin,0,0,1777,0,0,1788,190 x 160  mm.,2
2106,9992133084901488,Dialectica,Dialectica sive manuductio ad lōām/Dialectica sive manuductio ad logicam,Latin,0,0,1698,0,0,1699,210 x 160  mm.,2
2107,9992133091401488,Logica,"Tractatus seu Compendium de logica/Tractatus seu Compendium de logica, tribus  constans partibus dictatum a reverendo d: domino Libaer professore secundario in Celebri pædagogio liliensi Lovanii anno 1790 3â augusti joannes franciscus huveners/Tractatus seu Compendium de logica, tribus  constans partibus dictatum a reverendo D[omino] Domino Libaer professore secundario in celebri pædagogio Liliensi Lovanii anno 1790 3â augusti Joannes Franciscus Huveners",Latin,0,0,1790,0,0,1790,190 x 155 mm.,2
2108,9992133203501488,Logica,"Dictata Magis Principalia Svb Doctissmo Dño Arnoldo Mennenkēs S. T. B. F. et Pædagogij Porcensis Professore primario Scribebat Cornelis à Wyckersloot Ultrajectinus Anno 1652 Lovanii/Dictata magis principalia  sub doctissimo D[omino] Arnoldo Menneke[n]s, S. T.  B. F.,  et paedagogij Porcensis professore primario.  Scribebat Cornelis à Wyckersloot Ultrajectinus Anno 1652 Lovanii/Dictata Minus Principalia Sub Doctissimo Domino Nicolas du Bois Pædagogij Porcensis Professore Secundario Scribebat Cornelius A Wijckersloot Ultrajectinus. Anno 1652 1652 Lovanij/Dictata minus principalia sub doctissimo Domino Nicolas du Bois paedagogij Porcensis professore secundario. Scribebat Cornelius A Wijckersloot Ultrajectinus. Anno 1652 1652 Lovanij",Latin,0,0,1652,0,0,1653,215 x 160  mm.,2
2109,9992133262401488,Dialectica,Tractatus de arithmetica,Latin,0,0,1758,0,0,1759,200 x 165  mm.,2
2110,9992133547201488,Logica,Philosophia Lovaniensis dictata a Dno Dno gravenne Professore Primario Florentissimi Pedagogii Lilii hanc Scripsit Hubertus Chainaie Huensis anno 1759/Philosophia Lovaniensis dictata a D[omi]no D[omi]no Gravenne professore primario florentissimi pedagogii Lilii. Hanc scripsit Hubertus Chainaie Huensis anno 1759/Logicæ pars altera Dictata a Dno Dno Mismaker Professore secundario florentissimi pedagogii Lilii  hanc Scripsit Hubertus Chainaie huensis Lovanii ao 1759/Logicae pars alter dictata a D[omi]no D[omi]no Mismaker professore secundario florentissimi pedagogii Lilii. Hanc scripsit Hubertus Chainaie Huensis Lovanii a[nn]o 1759,Latin,0,0,1759,0,0,1760,205 x 165 mm.,2
2111,9992133557801488,Dialectica,Dīā dicta â reverendo admodum eruditissimoque Domino Domno Philippo Theodoro Zoude Namurano in celeberrimo sanctissimæ Trinitatis gijmnasio Professori Laudatissimo in celeberrima Lovaniensium academiâ S: Theol: summa cum laude adepto. Scripta verò â Joanne vander Belen Bruxellensi ejusd alumno. Anno Domni 1735/Dia[lectica] dicta a reverendo admodum eruditissimoque Domino Dom[i]no Philippo Theodoro Zoude Namurano in celeberrimo Sanctissimae Trinitatis Gymnasio professori laudatissimo in celeberrimo Lovaniensium academia S[anctae]. Theol[ogiae] summa cum laude adepto. Scripta vero a Joanne vander Belen Bruxellensi ejusd[em] alumno Anno Dom[i]ni1735,Latin,0,0,1735,0,0,1735,205 x 160 mm.,2
2112,9992133560601488,Physica. Dialectica,"Phijsica a francisco yernaux Scripta Louanij Sub Doct: D D Renardi a Raelenne Anno Domini 1683/Physica a Francisco Yernaux scripta Lovanij sub Doct[issmimo] D[omino] D[omino] Renardi a Raelenne Anno Domini 1683/Dialectica Dictata a Reverendo Domino Wibert Dialectices professore dignissimo, Eduardus Josephus Alexander Henry Caroloregius anno domini 1752",Latin,0,0,1683,0,0,1752,210 x 165 mm.,2
2113,9992134347801488,Logica,Dictata magis principalia sub Doctissimo Dno Dno ac Magistro Henrico Paridano S.T. Doctorando nec non Philiæ in Pædagogio Porcensis Professore Primario scribebat Antonius Verherent anno 1.6.25./Dictata magis principalia sub doctissimo D[omi]no D[omi]no ac Magistro Henrico Paridano S.T. doctorando nec non phil[osoph]iae in paedagogio Porcensis professore primario. Scribebat Antonius Verherent anno 1625/Dictata Minus Principalia sub Doctissimo D.no  D.no  ac Magistro Henrico Gaiffier Namurcen. S.T.L. nec non philosophiæ In celeberrimo Pædagogio Porcj Professore Secundario. Lovanij Scribebat Antonius Verherent Buscoducensis .anno. 1.6.26./Dictata minus principalia sub doctissimo D[omi]no  D[omi]no ac  magistro Henrico Gaiffier Namurcen. S.T.L. nec non philosophiae in celeberrimo paedagogio Porci professore secundario. Lovanij scribebat Antonius Verherent Buscoducensis anno 1626,Latin,0,0,1625,0,0,1626,198 x 160  mm.,2
2114,9992134599601488,Logica,Tractatus de logica/Tractatus de Logica dictata a Venerabili Dno Simons Professore Secundario in Pedagogio Porcensi Anno 1785. Scripsit x. jacquelart Lov./Tractatus de logica dictata a venerabili D[omi]no Simons professore secundario in pedagogio Porcensi Anno 1785. Scripsit X. Jcquelart Lov[aniensis],Latin,0,0,1785,0,0,1785,190 x 120  mm.,2
2115,9992134603301488,Dialectica,0,Latin,0,0,1725,0,0,1725,210 x 160  mm.,2
2116,9992134606101488,Logica. Metaphysica. Ethica,0,Latin,0,0,1701,0,0,1797,210 x 135  mm.,2
2117,9992134681701488,Logica,Logica realis/Logica realis Dictata à Doctissmo ac consultissimo Domino Damas Dionantio florentis lijlii professore primario et scripta à Corolo j: l: Gigault hanno=Montano; finita verò Die 9a Maij ...1770/Logica realis dictata a doctissmo ac consultissimo Domino Damas Dionantio florentis Lylii professore primario et scripta à Corolo J. L. Gigault Hanno-Montano; finita vero die 9a maij ...1770,Latin,0,0,1770,0,0,1770,195 x 160  mm.,2
2118,9992134685601488,Ethica. Logica,Ethica sive philosophia moralis,Latin,0,0,1774,0,0,1774,192 x 165  mm.,2
2119,9992134688101488,Logica,0,Latin,0,0,1779,0,0,1779,205 x 165 mm.,2
2120,9992135447901488,Dialectica,0,Latin,0,0,1673,0,0,1673,210 x 160  mm.,2
2121,9992135452901488,Logica,"Dictata Magis Principalia Sub doctissimo Domino D. Guilielmo Philippi J. U. ac Medicinæ Licentiato necnon florentissimi pædagogij Liliensis, Professore Primario. Colligebat Probus Adolescens Philippus C. de Wauldret Hanno=Montanus Anno Domini 1640/Dictata magis principalia sub doctissimo Domino D[omno] Guilielmo Philippi J. U. ac Medicinæ licentiato necnon florentissimi pædagogij Liliensis, professore primario. Colligebat probus adolescens Philippus C. de Wauldret Hanno-Montanus Anno Domini 1640",Latin,0,0,1640,0,0,1640,210 x 160  mm.,2
2122,9992135904101488,Dialectica,Dialectica Dictata a doctissimo Domino domino Van Tighem Dialecticæ professore lovanii in collegio SSme Trintitatis et scripta a Stephano Stevens bruxellensi. Anno Domini MDCCXI. Stevens bruxellensis Anno 1711. Uni Trino Deo/Dialectica dictata a doctissimo Domino Domino Van Tighem Dialecticæ professore Lovanii in Collegio SSme Trintitatis et scripta a Stephano Stevens Bruxellensi. Anno Domini MDCCXI. Stevens Bruxellensis Anno 1711. Uni Trino Deo,Latin,0,0,1711,0,0,1711,200 x 160  mm.,2
2123,9992135943601488,Logica,Annotata Magis principalia Sub Doctissimo Domino Simone Bierens. S.T.B.F. nec non Pedagogij Castrensis Professore Primario Scribebat Ludouicus Bunnē Hellemondans. 1654/Annotata magis principalia sub doctissimo Domino Simone Bierens. S.T.B.F. nec non Pedagogij Castrensis professore primario Scribebat Ludovicus Bunnen Hellemondanus. 1654/Annotata Minus ppālia Sub Doctisssimo Dño Lavrentio Lavchens S.T.B.F. atqve Pædagogij Castrensis Professore sdārio Scribebat Ludouicus Bunnen Hellemondanus 1654/Annotata minus p[rinci]palia sub doctisssimo D[omi]no Laurentio Lauchens S.T.B.F. atque Pædagogij Castrensis professore secundario Scribebat Ludovicus Bunnen Hellemondanus 1654,Latin,0,0,1654,0,0,1654,210 x 160  mm.,2
2124,9992136072701488,Logica,Quid vrle Reale et quotuplex. Vniversale aliud Stricte aliud Late. Guilielmus Hologne Falconis alumnus 1652/Quid u[nive]r[sa]le reale et quotuplex. Universale aliud stricte aliud late. Guilielmus Hologne Falconis alumnus 1652/Definitiones minus principales Sub Doctissimo Dno D. Lamberto Vincent S. Theologiæ B. 16.52/Definitiones minus principales sub doctissimo D[omi]no D[omino] Lamberto Vincent S[acrae] Theologiae. B. 16.52,Latin,0,0,1652,0,0,1653,155 x 105  mm.,2
2125,9992136076601488,Dialectica,Dialectica justa principia Logicæ Lovaniensis/Dialectica justa principia Logicæ Lovaniensis Dictata A Doctissimo domino D Deramaij Superemo in hoda Dialectices professore.  Scripta vero A petro francisco huberto Tondeur montensi. Anno domini. 1739:/Dialectica justa principia Logicæ Lovaniensis dictata a doctissimo Domino D[omino] Deramaij Superemo in hoda Dialectices professore.  Scripta vero a Petro Francisco Huberto Tondeur Montensi. Anno domini. 1739:,Latin,0,0,1739,0,0,1739,205 x 165  mm.,2
2126,9992136082201488,Logica. Ethica,Logica realis/Logicæ realis Tom: 2 dictatæ à Doctissimo Do D° Verheyden Piæ Professore 2io item Ethica dictata à Doctissimo D° D° Bosch phiæ Professore primario: Scripsit vero Lauy De Cock Lokerensis Wasino 1770/Logicae realis Tom[us] 2 dictata a doctissimo D[omin]° D[omin]° Verheyden p[hilosph]iae professore [secundar]io item Ethica dictata a doctissimo D[omin]° D[omin]° Bosch p[hilosoph]iae professore primario. Scripsit vero Larurentius De Cock Lokerensis Wasino 1770,Latin,0,0,1769,0,0,1770,162 x 105  mm.,2
2127,9992136083201488,Logica,Logica sermocinalis/Logica sermocinalis Dictata à Doctissimo D° Domino Bosch philosophiæ professore primario: Scripta vero à me Laurentio de Cock Lokerensi Wasiano pædagogii Castrensis in expugnabilio alumno Lovanii hac 24 decembris 1769+/Logica sermocinalis dictata a doctissimo D[omin]° Domino Bosch philosophiae professore primario. Scripta vero a me Laurentio de Cock Lokerensi Wasiano pædagogii Castrensis in expugnabilio alumno Lovanii hac 24 decembris 1769,Latin,0,0,1769,0,0,1769,165 x 105  mm.,2
2128,9992136085301488,Logica,Tractatus de logica,Latin,0,0,1783,0,0,1783,205 x 165  mm.,2
2129,9992136093101488,Ethica. Logica,Tractatus de ethica & de logica Lahaye Franciscus Josephus Lahaye Huensis philosophicus in Falcone  Anno 1777/Tractatus de ethica et de logica Lahaye Franciscus Josephus Lahaye Huensis philosophicus in Falcone  Anno 1777/Tractatus de logica 1776 Scriptus a francisco josepho Lahaye hoano in pedagogio falconensi philosoph 1777/Tractatus de logica 1776 scriptus a Francisco Josepho Lahaye hoano in pedagogio Falconensi philosophi[ia] 1777,Latin,0,0,1776,0,0,1777,195 x 165 mm.,2
2130,9992136094301488,Logica,Logica dictata ab eruditissimo domino domino ac magistro martino page philosophiæ professore primario. ANNO MDCCLVII: j: j: Lambillion Namuranus:/Logica dictata ab eruditissimo Domino Domino ac Magistro Martino Page philosophiae professore primario. Ano MDCCLVII: J.  J. Lambillion Namuranus:/Logica dictata a doctissimo Domino ac magistro joanne Baptista Bultot philosophiæ professore secundario. &c j: j: Lambillion Namuranus 1757:/Logica dictata a doctissimo Domino ac Magistro Joanne Baptista Bultot philosophiae professore secundario. &c J. J. Lambillion Namuranus 1757:,Latin,0,0,1757,0,0,1757,210 x 165 mm.,2
2131,9992136098101488,Logica. Ethica,"Tractatus De Logica Scriptus a Lamberto j: Stienon dictatus vero a domino forgeur Professore Lilii Secundario Lovanii 1778/Tractatus de logica scriptus a Lamberto J[oanne] Stienon, dictatus vero a Domino Forgeur professore Lilii secundario Lovanii 1778/Tractatus de Ethica Scriptus a Lamberto j: Stienon Dictatus vero a domino Zaaman Professore Primario Liliensi Lovanii anno 1778/Tractatus de ethica scriptus a Lamberto J[oanne] Stienon, dictatus vero a Domino Zaaman professore primario Liliensi Lovanii anno 1778",Latin,0,0,1778,0,0,1779,205 x 170  mm.,2
2132,9992136105801488,Logica,"Logices pars prima seu Logica Rationalis Dictata a Reverendo erudissimo doctissimoq Domino D. Gerardo Deckers Kevelariensi Sacræ Theologiæ Licentiato, Collegii Sanctæ annæ præside Clarissime, in florentissimo pedagogio porci professore jmario. Scripta vo a me joe Huleu gerardimontensi 1765/Logices pars prima seu Logica rationalis dictata a reverendo erudissimo doctissimoque Domino D[omino] Gerardo Deckers Kevelariensi Sacrae Theologiae Licentiato, Collegii Sanctae Annae praeside Clarissime, in florentissimo pedagogio Porci professore [pri]mario. Scripta v[er]o a me Jo[ann]e Huleu Gerardimontensi 1765/Logices pars secunda seu Logica Sermocinalis Dictata a Venerando doctissimoque domino domino Petro Wuijts ex tongerloo. Sacræ Theologiæ licentiato, venerandæ facultatis Lovaniensis tunc temporis decano in florentissimo pedagogio porci philosophiæ professore secundario Scripta vero a me joe huleu gerardimontensi 1765/Logices pars secunda seu Logica sermocinalis dictata a venerando doctissimoque Domino Domino Petro Wuyts ex Tongerloo, Sacrae Theologiae licentiato, venerandae Facultatis Lovaniensis tunc temporis decano in florentissimo pedagogio Porci philosophiae professore secundario. Scripta vero a me Jo[ann]e Huleu Gerardimontensi 1765",Latin,0,0,1765,0,0,1765,210 x 165  mm.,2
2133,9992136545901488,Logica,Dictatorum Logices Pars Prima scripta sub doctissimo Domino domino Ioanne Van den Hove ex Butsel Philospohiæ professore Primario in celererrimo pædagogio Castrensi a.° 1698/Dictatorum Logices Pars secunda scripta sub doctissimo Domino domino Gerardo Josepho Quareux Leodio Philosophiæ Professore secundario in Celeberrimo Pædagogio Castrensi,Latin,0,0,1698,0,0,1698,215 x 160  mm.,2
2134,9992136798801488,Dialectica,Tractatus De vocibus/Tractatus De compositis/Tractatus de defensione,Latin,0,0,1748,0,0,1748,205 x 165 mm.,2
2135,9992136989801488,Dialectica,0,Latin,0,0,1764,0,0,1764,205 x 170  mm.,2
2136,9992136995601488,Dialectica,Annotata scripta sub doctissimo domino domino Henrico van ermegem anno 1674,Latin,0,0,1674,0,0,1674,195 x 165 mm.,2
2137,9992137179101488,Physica,"Pars 2da Phijsices complectens tractatus de Astronomia, mechanica et  cosmographia A Dionijsio josepho Deleuze FALCONIS ALUMNO conscriptis anno 1772/Pars secunda Physices complectens tractatus de astromonia, mechanica et cosmographia a Dionysio Josepho Deleuze Falconis alumno conscriptis anno 1772",Latin,0,0,1772,0,0,1772,190 x 130  mm.,2
2138,9992137274701488,Questiones et responsa de theologia morali,Quaestions et responsa de theologia morali,Latin,0,0,1615,0,0,1615,200 x 160 mm.,2
2139,9992137290401488,Physica,Hujus Libri Verus est possessor joannes Ludovicus Deleuze Philosophus in Standonk sub disciplinæ Dni Van audenrode Prof: in Pædagogio Porcensi anno Domini 1784/Hujus libri verus est possessor Joannes Ludovicus Deleuze philosophus in Standonk sub disciplinae D[omi]ni Van Audenrode Prof[essor] in paedagogio Porcensi anno Domini 1784/Tractatus de hydrostatica dictatus a Dno Van audenrode Professore in Pæd: porcensi et a j:l: Deleuze Ppho in Standonk scriptus anno 1784/Tractatus de hydrostatica dictatus a D[omi]no Van Audenrode Professore in Pædagogio Porcensi et a J. L.  Deleuze P[hiloso]pho in Standonk scriptus anno 1784,Latin,0,0,1784,0,0,1785,190 x 115  mm.,2
2140,9992137296201488,Physica,"Tractatus de gravitate corporum, terrestrium, hydrostatica, aere, et sono/Tractatus de Gravitate corporum, Terrestrium, Hydrostathica, Aere, et Sono. 1775",Latin,0,0,1775,0,0,1777,193 x 120  mm.,2
2141,9992137304801488,Physica,"Hunc Librum, Tractatus De Motu corporum, de igne, calore et frigore, de Aëre, de Calendario Ecclesiastico, de gravitate corporum De hydrostatica, et de Aquâ, Continentem, dictantibus Eruditissimis doctissimisq Dominis D: Vrammout et Chokier Artium doctoribus et Philosophiæ Professoribus in Florenti Pædagogio Liliensi Lovanii Scripsi Joannes Franciscus Ignatius Forret Ejusdem pædagogii Alumnus  1767",Latin,0,0,1767,0,0,1767,205 x 170  mm.,2
2142,9992137341201488,Ethica,Dialectica/Commentarius in ethica Arlis/Commentarius ethica Ar[istote]lis/Commentarius in dialectica/Compendium dialecticum,Latin,0,0,1629,0,0,1629,220 x 165  mm.,2
2143,9992138591301488,Physica. Metaphysica,"Phisica Scripta a jōē Bossart hanno-Chimaceno dictantibus D: D: professoribus page primario et Bultot Secundario haec divisa est in 2 partes ima continet 2 tractatibus in quibus agitur de sisthemate universi, de qualitate corprum sensibilibus de origine plantarum de brutis et de corpore humano 2da vero continet 3 in qb agitr de motu de sphera et de elementis vulgaribus tandem in fine, est metaphisica  item experimentis phisicis 1756/Physica scripta a Jo[ann]e Bossart Hanno-Chimaceno dictantibus D[omini] D[omini] professoribus Page primario et Bultot secundario. Haec divisa est in 2 partes. [Pr] ima continet 2 tractatibus in quibus agitur de sisthemate universi, de qualitate corp[o]rum sensibilibus, de origine plantarum, de brutis et de corpore humano. [Secun]da vero continet 3 in q[ui]b[u]s agit[u]r de motu de sphera et de elementis vulgaribus tandem. In fine, est methphisica  item experimentis phycicis 1756",0,0,0,1755,0,0,1756,205 x 165 mm.,2
2144,9992139602401488,De actibus humanis II,0,Latin,0,0,1778,0,0,1779,190 x 125 mm.,2
2145,9992139683501488,Digesta. Quaestiones pro tentamine in 50 libros digestorum,0,Latin,0,0,1784,0,0,1784,187 x 120  mm.,2
2146,9992139685401488,Digesta. Libri I-VIII,0,Latin,0,0,1784,0,0,1784,195 x 120  mm.,2
2147,9992139924001488,Physica,"Physica pars secunda/Phijsices pars secunda dictata a d: d: Michaële Bessemers scripsit Ioannes Van Alderweirelt, Año 1714/Physices pars secunda dictata a D[omino] D[omino] Michaële Bessemers, scripsit Ioannes van Alderweirelt, An[n]o 1714",Latin,0,0,1714,0,0,1715,205 x 160  mm.,2
