fm_id,call_no
6783,Call number: Ms. C145
6784,Call number: Ms. C115
6785,Call number: Ms. C110
6786,Call number: Ms. C174
6787,Call number: Ms. C185
6788,Call number: Ms. C184
6789,Call number: Ms. C183
6790,Call number: Ms. C179
6791,Call number: Ms. C198
6792,Call number: Ms. C190
6793,Call number: Ms. C10
6794,Call number: Ms. C32
6795,Call number: Ms. C30
6796,Call number: Ms. C28
6797,Call number: Ms. C14
6798,Call number: Ms. C12
6799,Call number: Ms. C11
6800,Call number: Ms. C8
6801,Call number: Ms. C6
6803,Call number: Ms. C34
6804,Call number: Ms. C41
6805,Call number: Ms. C40
6806,Call number: Ms. C39
6807,Call number: Ms. C38
6808,Call number: Ms. C44
6809,Call number: Ms. C43
6810,Call number: Ms. C42
6811,Call number: Ms. C4
6812,Call number: Ms. C47
6813,Call number: Ms. C46
6814,Call number: Ms. C45
6816,Call number: Ms. C56
6817,Call number: Ms. C55
6818,Call number: Ms. C54
6819,Call number: Ms. C72
6820,Call number: Ms. C59
6821,Call number: Ms. C58
6822,Call number: Ms. C77
6823,Call number: Ms. C70
6824,Call number: Ms. C68
6825,Call number: Ms. C64
6826,Call number: Ms. C60
6827,Call number: Ms. C90
6828,Call number: Ms. C84
6829,Call number: Ms. C82
6830,Call number: Ms. C80
6831,Call number: Ms. C76
6832,Call number: Ms. C75
6833,Call number: Ms. C74
6834,Call number: Ms. C73
6835,Call number: Ms. C96
6836,Call number: Ms. C95
6837,Call number: Ms. C116
6838,Call number: Ms. C114
6839,Call number: Ms. C112
6840,Call number: Ms. C106
6841,Call number: Ms. C105
6842,Call number: Ms. C109
6843,Call number: Ms. C108
6844,Call number: Ms. C107
6845,Call number: Ms. C149
6846,Call number: Ms. C148
6847,Call number: Ms. C147
6848,Call number: Ms. C141
6849,Call number: Ms. C140
6850,Call number: Ms. C139
6851,Call number: Ms. C138
6852,Call number: Ms. C144
6853,Call number: Ms. C162
6854,Call number: Ms. C158
6855,Call number: Ms. C156
6856,Call number: Ms. C151
6857,Call number: Ms. C150
6858,Call number: Ms. C163
6859,Call number: Ms. C165
6860,Call number: Ms. C169
6861,Call number: Ms. C168
6862,Call number: Ms. C167
6863,Call number: Ms. C176
6864,Call number: Ms. C172
6865,Call number: Ms. C175
6866,Call number: Ms. C180
6867,Call number: Ms. C178
6868,Call number: Ms. C177
6869,Call number: Ms. C195
6870,Call number: Ms. C194
6871,Call number: Ms. C189
6872,Call number: Ms. C188
6873,Call number: Ms. C187
6874,Call number: Ms. C186
6875,Call number: Ms. C182
6876,Call number: Ms. C181
6877,Call number: Ms. C193
6878,Call number: Ms. C192
6879,Call number: Ms. C191
6880,Call number: Ms. C202
6881,Call number: Ms. C201
6882,Call number: Ms. C203
6883,Call number: Ms. C205
6884,Call number: Ms. C204
6885,Call number: Ms. C209
6886,Call number: Ms. C207
6887,Call number: Ms. C210
6888,Call number: ms. II 106
6889,Call number: ms. II 168
6890,Call number: ms. II 740
6891,Call number: ms. II 737
6892,Call number: ms. II 730
6893,Call number: ms. II 252
6895,Call number: ms. II 829/1
6896,Call number: ms. II 741
6897,Call number: ms. II 1036
6898,Call number: ms. II 1245
6899,Call number: ms. II 829/2
6900,Call number: ms. II 1249
6901,Call number: ms. II 2778
6902,Call number: ms. II 2224
6903,Call number: ms. II 2119
6904,Call number: ms. II 2942
6905,Call number: ms. II 2941
6906,Call number: ms. II 2974
6907,Call number: ms. II 2973
6908,Call number: ms. II 3086
6909,Call number: ms. II 3083
6910,Call number: ms. II 3077
6911,Call number: ms. II 3075
6912,Call number: ms. II 3040
6913,Call number: ms. II 3088
6914,Call number: ms. II 3080
6915,Call number: ms. II 3098
6916,Call number: ms. II 3097
6917,Call number: ms. II 3109
6918,Call number: ms. II 3106
6919,Call number: NA
6920,Call number: NA
6921,Call number: NA
6922,Call number: NA
6923,Call number: NA
6924,Call number: ms. II 3212
6925,Call number: ms. II 3214
6926,Call number: ms. II 3292
6927,Call number: ms. II 3295
6928,Call number: ms. II 3294
6929,Call number: ms. II 3352
6930,Call number: ms. II 3366/11
6931,Call number: ms. II 3366/8
6932,Call number: ms. II 3366/7
6933,Call number: ms. II 3366/2
6934,Call number: ms. II 3366/1
6935,Call number: ms.II 3368/2
6936,Call number: ms. II 3368/1
6937,Call number: ms. II 3366/9
6938,Call number: ms. II 3366/6
6939,Call number: ms. II 3366/5
6940,Call number: ms. II 3366/10
6941,Call number: ms. II 3366/4
6942,Call number: ms. II 3366/3
6943,Call number: ms. II 3367
6944,Call number: ms. II 3379
6945,Call number: ms. II 3378
6946,Call number: ms. II 3377
6947,Call number: ms. II 3376
6948,Call number: ms. II 3430/2
6949,Call number: ms. II 3430/1
6950,Call number: ms. II 3479
6951,Call number: ms. II 3444
6952,Call number: ms.II 3438
6953,Call number: ms. II 3525
6370,Call number: Ms. 371
6371,Call number: Ms. 370
6372,Call number: Ms. 369
6405,Call number: Ms. 375
6406,Call number: Ms. 376
6407,Call number: Ms. 377
6408,Call number: Ms. 378
6409,Call number: Ms. 379
6410,Call number: Ms. 380
6411,Call number: PM0098/Q°
6412,Call number: Ms. 381
6423,Call number: Ms. 382
6425,Call number: Ms. 384 (size A)
6426,Call number: Ms. 383
6427,Call number: Ms. 385 (size A)
6428,Call number: Ms. 386
6434,Call number: Ms. 387
6435,Call number: Ms. 388
6436,Call number: Ms. 389
6437,Call number: Ms. 392
6438,Call number: Ms. 397
6439,Call number: Ms. 398
6440,Call number: Ms. 396
6441,Call number: Ms. 395
6442,Call number: Ms. 393
6443,Call number: Ms. 399
6452,Call number: PRECA2177
6453,Call number: PRECA2178
6454,Call number: Ms. 235
6455,Call number: Ms. 367
6456,Call number: Ms. 273
6457,Call number: Ms. 236
6458,Call number: Ms. 328
6459,Call number: Ms. 333
6460,Call number: Ms. 241
6461,Call number: Ms. 267
6462,Call number: Ms. 310
6463,Call number: Ms. 332
6464,Call number: Ms. 322
6465,Call number: Ms. 321
6466,Call number: Ms. 251
6467,Call number: Ms. 327
6468,Call number: Ms. 252
6469,Call number: Ms. 300
6470,Call number: Ms. 253
6471,Call number: Ms. 299
6472,Call number: Ms. 214
6473,Call number: Ms. 215
6474,Call number: Ms. 216
6475,Call number: Ms. 217
6476,Call number: Ms. 218
6477,Call number: Ms. 219
6478,Call number: Ms. 220
6479,Call number: Ms. 221
6480,Call number: Ms. 222
6481,Call number: Ms. 223
6482,Call number: Ms. 203
6483,Call number: Ms. 224
6484,Call number: Ms. 225
6485,Call number: Ms. 202
6486,Call number: Ms. 201
6487,Call number: Ms. 228
6488,Call number: Ms. 212
6489,Call number: Ms. 230
6490,Call number: Ms. 231
6491,Call number: Ms. 204
6492,Call number: Ms. 205
6493,Call number: Ms. 206
6494,Call number: Ms. 232
6495,Call number: Ms. 210
6496,Call number: Ms. 209
6497,Call number: Ms. 213
6498,Call number: Ms. 229
6499,Call number: Ms. 233
6500,Call number: Ms. 234
6501,Call number: Ms. 237
6502,Call number: Ms. 240
6503,Call number: Ms. 211
6504,Call number: Ms. 207
6505,Call number: Ms. 227
6506,Call number: Ms. 242
6507,Call number: Ms. 243
6508,Call number: Ms. 244
6509,Call number: Ms. 245
6510,Call number: Ms. 246
6511,Call number: Ms. 247
6512,Call number: Ms. 248
6513,Call number: Ms. 249
6514,Call number: Ms. 208
6515,Call number: Ms. 254
6516,Call number: Ms. 255
6517,Call number: Ms. 257
6518,Call number: Ms. 259
6519,Call number: Ms. 238
6520,Call number: Ms. 256
6521,Call number: Ms. 260
6522,Call number: Ms. 250
6523,Call number: Ms. 258
6524,Call number: Ms. 261
6525,Call number: Ms. 262
6526,Call number: Ms. 263
6527,Call number: Ms. 264
6528,Call number: Ms. 265
6529,Call number: Ms. 266
6530,Call number: Ms. 270
6531,Call number: Ms. 271
6532,Call number: Ms. 268
6533,Call number: Ms. 269
6534,Call number: Ms. 272
6535,Call number: Ms. 280
6536,Call number: Ms. 281
6537,Call number: Ms. 282
6538,Call number: Ms. 283
6539,Call number: Ms. 284
6540,Call number: Ms. 285
6541,Call number: Ms. 286
6542,Call number: Ms. 287
6543,Call number: Ms. 288
6544,Call number: Ms. 289
6545,Call number: Ms. 290
6546,Call number: Ms. 291
6547,Call number: Ms. 292
6548,Call number: Ms. 293
6549,Call number: Ms. 294
6550,Call number: Ms. 295
6551,Call number: Ms. 296
6552,Call number: Ms. 297
6553,Call number: Ms. 298
6623,Call number: Ms. 373
6654,Call number: Ms. 301
6655,Call number: Ms. 302
6656,Call number: Ms. 304
6657,Call number: Ms. 305
6658,Call number: Ms. 306
6659,Call number: Ms. 307
6660,Call number: Ms. 338
6661,Call number: Ms. 308
6662,Call number: Ms. 309
6663,Call number: Ms. 313
6664,Call number: Ms. 314
6665,Call number: Ms. 315
6666,Call number: Ms. 316
6667,Call number: Ms. 317
6668,Call number: Ms. 319
6669,Call number: Ms. 320
6670,Call number: Ms. 323
6671,Call number: Ms. 325
6672,Call number: Ms. 326
6673,Call number: Ms. 329
6674,Call number: Ms. 330
6675,Call number: Ms. 331
6676,Call number: Ms. 334
6677,Call number: Ms. 335
6678,Call number: Ms. 336
6679,Call number: Ms. 324
6680,Call number: Ms. 226
6681,Call number: Ms. 337
6682,Call number: PRECA0001
6683,Call number: PRECA0002
6684,Call number: PRECA0003
6685,Call number: PRECA0004
6686,Call number: PRECA0005
6687,Call number: PRECA0006
6688,Call number: PRECA0007
6689,Call number: PRECA0008
6690,Call number: PRECA0009
6691,Call number: PRECA0010
6692,Call number: PRECA0011
6693,Call number: PRECA0012
6694,Call number: PRECA0013
6695,Call number: PRECA0014
6696,Call number: PRECA0015
6697,Call number: PRECA0016
6698,Call number: PRECA0017
6699,Call number: PRECA0018
6700,Call number: PRECA0019
6701,Call number: PRECA0020
6702,Call number: PRECA0021
6703,Call number: PRECA0022
6704,Call number: PRECA0023
6705,Call number: PRECA0025
6706,Call number: PRECA0024
6707,Call number: Ms. 339
6708,Call number: Ms. 340
6709,Call number: Ms. 341
6710,Call number: Ms. 342
6711,Call number: Ms. 344
6712,Call number: Ms. 343
6713,Call number: Ms. 347
6714,Call number: Ms. 348
6715,Call number: PM0478
6716,Call number: PM0479
6717,Call number: PM0480
6718,Call number: PM0026/V
6719,Call number: PM0328
6720,Call number: PM0325
6721,Call number: PM0324
6722,Call number: PM0326
6723,Call number: PM0327
6724,Call number: PM0024/Q°
6725,Call number: Ms. 239
6726,Call number: PM0334
6740,Call number: Ms. 350
6741,Call number: Ms. 349
6742,Call number: Ms. 351
6743,Call number: Ms. 352
6747,Call number: Ms. 354
6748,Call number: Ms. 353
6749,Call number: Ms. 355
6750,Call number: Ms. 312
6751,Call number: Ms. 356
6752,Call number: Ms. 361
6753,Call number: Ms. 365
6754,Call number: Ms. 357
6755,Call number: Ms. 358
6756,Call number: Ms. 359
6757,Call number: Ms. 362
6758,Call number: Ms. 363
6802,Call number: Ms. 364
6815,Call number: Ms. 368
6894,Call number: Ms. 372
